NO.,COUNTRY OF NATIONALITY,2023,2022,2019,latitude,longitude
1.0, Singapore, 8308230, 5222991, 10163882, 1.3521, 103.8198
2.0, Indonesia, 3108165, 1481739, 3623277, -0.7893, 113.9213
3.0, Thailand, 1551282, 715528, 1884306, 15.87, 100.9925
4.0, People's Republic of China, 1474114, 212603, 3114257, 35.8617, 104.1954
5.0, Brunei, 811833, 301757, 1216123, 4.5353, 114.7277
6.0, India, 671846, 324548, 735309, 20.5937, 78.9629
7.0, South Korea, 400853, 146384, 673065, 35.9078, 127.7669
8.0, Vietnam, 344361, 173763, 400346, 14.0583, 108.2772
9.0, Australia, 343438, 152265, 368271, -25.2744, 133.7751
10.0, Philippines, 339282, 159442, 421908, 12.8797, 121.774
11.0, Taiwan, 283380, 48132, 382916, 23.6978, 120.9605
12.0, United Kingdom, 272297, 134667, 346485, 55.3781, -3.436
13.0, Japan, 229892, 83309, 424694, 36.2048, 138.2529
14.0, United States, 229476, 108141, 269928, 37.0902, -95.7129
15.0, Bangladesh, 142748, 59033, 179000, 23.685, 90.3563
16.0, Germany, 125987, 57780, 130221, 51.1657, 10.4515
17.0, France, 115145, 55087, 141661, 46.6034, 1.8883
18.0, Russia, 109689, 33003, 79984, 61.524, 105.3188
19.0, Pakistan, 107657, 60535, 105757, 30.3753, 69.3451
20.0, Myanmar, 86298, 36765, 46257, 21.9162, 95.956
21.0, Cambodia, 72627, 39823, 97097, 12.5657, 104.991
22.0, Canada, 71981, 30656, 87568, 56.1304, -106.3468
23.0, Netherlands, 68448, 31070, 82110, 52.1326, 5.2913
24.0, Sri Lanka, 55050, 24906, 26058, 7.8731, 80.7718
25.0, Saudi Arabia, 51375, 35980, 121444, 23.8859, 45.0792
26.0, Italy, 48440, 18866, 54710, 41.8719, 12.5674
27.0, New Zealand, 42955, 18238, 50140, -40.9006, 174.886
28.0, Spain, 40762, 20474, 43616, 40.4637, -3.7492
29.0, Switzerland, 23312, 10486, 25659, 46.8182, 8.2275
30.0, Poland, 21472, 8472, 27033, 51.9194, 19.1451
31.0, Egypt, 20783, 11117, 29831, 26.8206, 30.8025
32.0, Iran, 19908, 7570, 46559, 32.4279, 53.688
33.0, Nepal, 18488, 11379, 20437, 28.3949, 84.124
34.0, Ireland, 18127, 8739, 19696, 53.1424, -7.6921
35.0, Sweden, 18006, 8083, 29592, 60.1282, 18.6435
36.0, Belgium, 17726, 7543, 22082, 50.8503, 4.3517
37.0, TÃ¼rkiye, 17275, 7169, 15290, 38.9637, 35.2433
38.0, Laos, 16781, 7010, 26955, 19.8563, 102.4955
39.0, Denmark, 16053, 7717, 22314, 56.2639, 9.5018
40.0, South Africa, 15155, 7937, 22674, -30.5595, 22.9375
41.0, Iraq, 12562, 6008, 21421, 33.2232, 43.6793
42.0, Ukraine, 11129, 4381, 16019, 48.3794, 31.1656
43.0, Norway, 9981, 4960, 14585, 60.472, 8.4689
44.0, Kazakhstan, 8298, 2836, 18138, 48.0196, 66.9237
45.0, United Arab Emirates, 7877, 3230, 11174, 23.4241, 53.8478
