date,country,arrivals,arrivals_male,arrivals_female,X
2020-01-01,ALL,2923053,1598823,1324230,0.0
2020-02-01,ALL,1997322,1186644,810678,0.0
2020-03-01,ALL,1065039,638642,426397,0.0
2020-04-01,ALL,15077,14086,991,0.0
2020-05-01,ALL,14282,13195,1087,0.0
2020-06-01,ALL,14400,13103,1297,0.0
2020-07-01,ALL,20345,17607,2738,0.0
2020-08-01,ALL,22229,19152,3077,0.0
2020-09-01,ALL,22642,19814,2828,0.0
2020-10-01,ALL,22749,20108,2641,0.0
2020-11-01,ALL,24973,22337,2636,0.0
2020-12-01,ALL,29897,27721,2176,0.0
2021-01-01,ALL,35867,33715,2152,0.0
2021-02-01,ALL,33309,31254,2055,0.0
2021-03-01,ALL,42434,38999,3435,0.0
2021-04-01,ALL,37880,34692,3188,0.0
2021-05-01,ALL,35434,33309,2125,0.0
2021-06-01,ALL,29607,28412,1195,0.0
2021-07-01,ALL,31331,29497,1834,0.0
2021-08-01,ALL,31658,29346,2312,0.0
2021-09-01,ALL,35017,32647,2370,0.0
2021-10-01,ALL,38564,34973,3591,0.0
2021-11-01,ALL,42323,37529,4794,0.0
2021-12-01,ALL,77135,60339,16796,0.0
2022-01-01,ALL,76559,60079,16480,0.0
2022-02-01,ALL,68753,55801,12952,0.0
2022-03-01,ALL,92455,72545,19910,0.0
2022-04-01,ALL,604690,382594,222096,0.0
2022-05-01,ALL,1037181,633842,403339,0.0
2022-06-01,ALL,1389092,813559,575533,0.0
2022-07-01,ALL,1699890,986785,713105,0.0
2022-08-01,ALL,1808373,1059751,748622,0.0
2022-09-01,ALL,1900183,1095258,804925,0.0
2022-10-01,ALL,2022369,1156405,865964,0.0
2022-11-01,ALL,2048419,1177765,870654,0.0
2022-12-01,ALL,2400548,1306834,1093714,0.0
2023-01-01,ALL,2234972,1254853,980119,0.0
2023-02-01,ALL,2047306,1187808,859498,0.0
2023-03-01,ALL,2388103,1355674,1032429,0.0
2023-04-01,ALL,2282367,1259274,1023093,0.0
2023-05-01,ALL,2416296,1375694,1040602,0.0
2023-06-01,ALL,2399593,1318503,1081090,0.0
2023-07-01,ALL,2829817,1550303,1279514,0.0
2023-08-01,ALL,2701427,1511318,1190109,0.0
2023-09-01,ALL,2718469,1514846,1203623,0.0
2023-10-01,ALL,2656279,1479097,1177182,0.0
2023-11-01,ALL,2663169,1473022,1190147,0.0
2023-12-01,ALL,3177506,1694180,1483326,0.0